Precio	Expensas	Calle	Altura	Piso	Detalles	Descripción	Link	Amenities	Losa_Central	Aire_Acond	Apto_Credito	Cochera	Seguridad	Luminoso	Balcon_Aterrazado
USD 2.500.000	+ $2.400.000	Jerónimo Salguero	2700	0	330 m² cubie. 3 dorm. 17 años	TORRE BELLINI! Piso alto de revista! Balcón con espectacular vista panorámica a la ciudad y al río! Todo a nuevo! Full amenities! 3 Coch! ÚNICO! “TORRE BELLINI” DE REVISTA! IMPECABLE PISO MUY ALTO! BALCÓN CON ESPECTACULAR VISTA PANORÁMICA A LA CIUDAD Y AL RÍO! Muy luminoso! Todo luz y sol! Excelente distribución! Todo externo! Doble circulación! TODO A NUEVO! Palier privado! Hall de entrada! Gran living y comedor! Toilette de recepción! Sala de estar o playroom con habitación de guardado! 1 Master suite con 2 vestidores! 1 Dormitorio en suite! 1 Dormitorio! Baño completo! Muchos placares! Cocina completa! Lavadero independiente! Baño de servicio! Entrada de servicio! Full Amenities: Piscina climatizada y solárium, jacuzzi y solárium en piso 37, gimnasio con vestuarios, sauna, sala de relax, SUM, parrilla, juegos para niños, espacio verde, microcine, jaulas de golf y laundry! Calefacción y aire acondicionado central con regulación individual! Aberturas de aluminio con DVH! 3 Cocheras fijas y cubiertas! 2 Bauleras! Grupo electrógeno! 3 Ascensores! Estacionamiento de cortesía! El edificio cuenta con encargado y 2 ayudantes! Vigilancia 24hs! APTO CRÉDITO! Excelente ubicación! La mejor zona de Palermo! A metros de Av. Libertador y Plaza Alemania! ÚNICO! OPORTUNIDAD! * Esta propiedad posee rampa de acceso para personas con movilidad reducida *Las descripciones, medidas, superficies y proporciones consignadas en esta ficha son aproximadas, sólo se muestran a modo orientativo. Los montos de expensas, tasas e impuestos deben ser confirmados ya que dependen de la fecha en la que se obtuvo la información. *Matrícula CUCICBA 2204	https://www.argenprop.com/departamento-en-venta-en-palermo-chico-5-ambientes--18799423	1	0	1	1	1	1	1	0
USD 183.000	+ $335.000	Av. Gral. Indalecio Chenaut	1900	0	75 m² cubie. 1 dorm. 20 años	IMPECABLE DÚPLEX! TODO A NUEVO! Balcón con espectacular vista abierta y al río! Todo luz y sol! Piscina y solárium! ÚNICO! OPORT! IMPECABLE 2 AMBIENTES EN DÚPLEX! Balcón al frente con espectacular vista abierta y al río! Muy luminoso! Todo luz y sol! Excelente distribución! Muy amplio! TODO A NUEVO! Planta baja: Hall de entrada! Toilette de recepción! Living-comedor! Cocina integrada con barra! Conexión para lavarropas! Planta alta: Master suite con vestidor! Baño completo compartimentado! 2 Splits! Amenities: piscina y solárium! APTO PROFESIONAL! El edificio cuenta con encargado! ÚNICO! OPORTUNIDAD! *Esta propiedad cuenta con acceso para personas con movilidad reducida. *Las descripciones, medidas, superficies y proporciones consignadas en esta ficha son aproximadas, sólo se muestran a modo orientativo. Los montos de expensas, tasas e impuestos deben ser confirmados ya que dependen de la fecha en la que se obtuvo la información. *Matrícula CUCICBA 2204	https://www.argenprop.com/departamento-en-venta-en-las-canitas-2-ambientes--18137142	1	0	1	0	0	1	1	0
USD 130.000	+ $160.000	Avenida Luis María Campos	700	0	65 m² cubie. 2 dorm. 40 años	IMPECABLE SEMIPISO! Muy luminoso! Amplio! Todo externo! BAJAS EXPENSAS! Apto crédito! ÚNICO! OPORT! IMPECABLE SEMIPISO! AMPLIO! Muy luminoso! Excelente distribución! TODO EXTERNO! Living-comedor! Baño completo con ventilación natural! 2 Dormitorios! Amplios placares! Cocina completa con ventilación natural! Conexión para lavarropas! 2 Splits frío-calor! Pisos de madera! Terraza común! Agua caliente central! El encargado vive en el edificio! BAJAS EXPENSAS! APTO CRÉDITO! Inmejorable ubicación! Todos los medios de transporte! ÚNICO! OPORTUNIDAD! *Esta propiedad cuenta con acceso para personas con movilidad reducida *Las descripciones, medidas, superficies y proporciones consignadas en esta ficha son aproximadas, sólo se muestran a modo orientativo. Los montos de expensas, tasas e impuestos deben ser confirmados ya que dependen de la fecha en la que se obtuvo la información. *Matrícula CUCICBA 2204	https://www.argenprop.com/departamento-en-venta-en-las-canitas-3-ambientes--18341564	0	0	1	1	0	1	1	0
USD 103.000	+ $125.000	JOSE ANTONIO CABRERA	3600	PB	43 m² cubie. 1 dorm. 1 baño	Departamento Palermo Viejo, DOS AMBIENTES, COCINA Y COMEDOR DIARIO, PATIO, IMPECABLE, BAJAS EXPENSAS Este departamento (Apto profesional por Reglamento) en está ubicado en PLANTA BAJA al frente, Posee dos Ambientes, cocina completa con alacenas y bajo mesada y comedor diario, Patio con Lavadero con amplio espacio para lavarropas, Baño Completo, impecable. Apto profesional - Muy bajas Expensas: diciembre 2025 $ 125.000 Gran ubicación: en el barrio de Palermo, en una de las zonas más demandadas por su cercanía con la Universidad de Palermo, El Sanatorio Güemes, Hospital Italiano, etc. - SUPERFICIE TOTAL: 43 m2. - Superficie cubierta 37 m2. - Superficie descubierta (patio) 5,92 m2. - Estar - comedor 4,30 x 3,30 m. - Dormitorio 2,95 x 2,80 m. más placard de 2,00 x 0,60 mtrs. - hall de distribución 1,35 x 1,35 m. - Cocina 2,70 x 1,45 m. más COMEDOR DIARIO 1,60 x 1,60 m. - Baño completo 2,10 x 1,45 m. - profusión de tomas corrientes en todos los ambientes - CALEFACCIÓN POR aire acondicionado sistema Split - Agua sanitaria por calefón EDIFICIO APTO PARA PERSONAS CON CAPACIDADES DISMINUIDAS APTO PROFESIONAL POR REGLAMENTO DE CO-PROPIEDAD - EFIFICIO DE SOLO DOS PLANTAS CON TERRAZA GENERAL Y SOLARIUM MOSTRAMOS ESTE INMUEBLE EN EL DÍA TERRAZAS & BALCONES Propiedades - > Atención de Lunes a Viernes de 11 a 19 hs. > Atención Back office: Lun a Vie de 09 a 20 Hs. - Sab 10 a 20 Hs. - Agradecemos su visita a nuestro aviso. Los datos presentados en esta ficha son a solo efecto orientativo. Surgiendo los reales del respectivo titulo y plano de esta propiedad - CUCICBA. 5209 TERRAZAS & BALCONES ES NUESTRA MARCA REGISTRADA Es el momento de elegir inmuebles con terrazas, balcones aterrazados y patios parquizados para vivir toda la energía que emanan - Mostramos nuestros inmuebles en el día - Carlos Campagnoli - Martillero Público - CUCICBA 5209 LAS FOTOS PUBLICADAS DE NUESTROS AVISOS NO ESTÁN MODIFICADAS NI ALTERADAS Y RESPONDEN AL ESTADO ACTUAL DE CADA PROPIEDAD.	https://www.argenprop.com/departamento-en-venta-en-palermo-viejo-2-ambientes--18330289	0	0	1	0	0	0	1	1
USD 163.000	+ $280.000	FITZ ROY	1800	6	64 m² cubie. 1 dorm. 18 años	Duplex 64m2 C/ Terraza y 2 baños - APTO CREDITO Venta de Departamento 2 Ambientes en Palermo Hollywood, Capital Federal Duplex 2 Ambientes 64m2 en la mejor zona de Palermo Hollywood . APTO CREDITO HIPOTECARIO 6to piso al frente, orientacion oeste, hermosa vista y muy luminoso. SUPERFICIE CUBIERTA: 48,44M2 SUPERFICIE DESCUEBIERTA 15,57M2 SUPERFICIE TOTAL: 64,01M2 COMPUESTO POR 2 PLANTAS: - Planta Baja: Living comedor con aire acondicionado, cocina incorporada, toilette de recepcion y balcón al frente que vista abierta. La cocina tiene mesada de purestone blanco, alacenas y bajo mesadas amploas, coexión para lavarropas con carga frontal y esta equipada con anafe a gas empotradro y horno electrico. - Planta Alta: Dormitorio en suite con placard empotrado con puertas corredizas y espejadas, baño completo y salida a gran terraza que tiene un vista hermosa. Agua Caliente individual por medio de caledera que ademas proporciona LOSA RADIANTE y 2 aires acondicionados. Edificio del 2007, con 4 pisos (doble altura), 3 unidades por piso, 1 solo ascensor. UBICADO en Fitz Roy entre costa rica y El Salvador, a metros de Av. Juan B. Justo y innumerables medios de transporte. Precio de Venta US$ 163.000 Expensas $280.000 TOMAS TRIPPUTI - Mat. CUCICBA N 7969 AVISO Todas las propiedades que figuran en nuestra cartera se encuentran a cargo del profesional matriculado de la oficina, la intermediación y la conclusión de las operaciones serán llevadas exclusivamente por él Los precios de expensas e impuestos son en base a los ultimas liquidaciones y pueden variar.	https://www.argenprop.com/departamento-en-venta-en-palermo-hollywood-2-ambientes--18909902	0	1	1	1	0	0	1	0
USD 94.500	+ $180.000	Oro al	2400	0	36 m² cubie. 35 años 1 baño	Mono en venta. Frente Balcon. Palermo Departamento monoambiente en 3er piso al frente, en el corazon de Palermo soho. 36 mts cubiertos con balcon. Baño muy comodo y cocina semi integrada. A 100 metros de la sede de la embajada de EEUU. Apto profesional. Todas las lineas de transporte. Zona de bares y restaurante. Totalmente amoblado, actualmente con renta en dolares. Contrato hasta Febrero 2026 Pardiñas Inmuebles	https://www.argenprop.com/departamento-en-venta-en-palermo-1-ambiente--16964678	0	0	0	0	0	0	0	0
USD 242.000	+ $152.000	ARMENIA	2200	4	77 m² cubie. 3 dorm. 50 años	Venta Departamento de 4 ambientes en Palermo ! Venta de Departamento 4 ambientes en Palermo, Capital Federal En pleno Palermo, sobre Armenia y Charcas, se encuentra este luminoso departamento de 3 ambientes con dependencia. Ubicado en un 4º piso, ofrece un cómodo balcón a la calle, living y comedor bien definidos y una cocina funcional con lavadero independiente. El sector privado cuenta con dos dormitorios con placares empotrados y un tercer ambiente que funciona como dependencia o espacio versátil, ideal para home office o vestidor. Dispone de dos baños, uno de ellos completo con bañera e hidromasaje y un toilette adicional. Entre sus detalles de calidad se destacan la puerta blindada y las aberturas con DVH simple grueso, que garantizan mayor confort y seguridad. Se trata de una propiedad con muy bajas expensas y una ubicación privilegiada, rodeada de comercios, gastronomía y excelentes accesos de transporte. Tel : Cel : +54 9 Click para WhatsApp LEPORE VILLA CRESPO. LEPORE PROPIEDADES . LEPORE Propiedades S.A. CUIT : -9. C.U.C.I.C.B.A. Matrícula Nº 931 (Caballito, Villa Crespo, San Cristóbal). AVISO LEGAL: Las descripciones arquitectónicas y funcionales, valores de expensas, impuestos y servicios, fotos y medidas de este inmueble son aproximados. Los datos fueron proporcionados por el propietario y pueden no estar actualizados a la hora de la visualización de este aviso por lo cual pueden arrojar inexactitudes y discordancias con las que surgen de los las facturas, títulos y planos legales del inmueble. El interesado deberá realizar las verificaciones respectivas previamente a la realización de cualquier operación, requiriendo por sí o sus profesionales las copias necesarias de la documentación que corresponda.	https://www.argenprop.com/departamento-en-venta-en-palermo-4-ambientes--18114985	0	0	0	0	0	0	1	0
USD 220.000	+ $365.000	Bulnes	1700	2	87 m² cubie. 2 dorm. 45 años	3 ambientes con dependencia de servicio y espacio guarda coche Departamento 3 AMBIENTES en Palermo, Capital Federal se trata de una unidad de piso completo que cuenta con cocina independiente, lavadero y dependencia de servicio con toilette. además de un espacio guarda coche y 2 patios. ubicación inmejorable, con cercanía a comercios, espacios verdes y servicios. a metros de av Santa Fe y av Coronel Díaz con accesibilidad a diferentes medios de transporte como colectivos y subtes. LEPORE PROPIEDADES / Wp. LEPORE Propiedades S.A. CUIT : -9 C.U.C.I.C.B.A. Matrícula Nº 931 (Sucursales Caballito - Palermo - Centro) AVISO LEGAL: Las descripciones arquitectónicas y funcionales, valores de expensas, impuestos y servicios, fotos y medidas de este inmueble son aproximados. Los datos fueron proporcionados por el propietario y pueden no estar actualizados a la hora de la visualización de este aviso por lo cual pueden arrojar inexactitudes y discordancias con las que surgen de los las facturas, títulos y planos legales del inmueble. El interesado deberá realizar las verificaciones respectivas previamente a la realización de cualquier operación, requiriendo por sí o sus profesionales las copias necesarias de la documentación que corresponda. Venta supeditada al cumplimiento por parte del propietario de los requisitos de la resolución general Nº 2371 de la AFIP (pedido de COTI)	https://www.argenprop.com/departamento-en-venta-en-palermo-3-ambientes--18076496	0	0	0	0	1	0	1	0
USD 106.000	+ $178.000	Fray justo Santa maria de oro	2400	6	35 m² cubie. 1 dorm. 30 años	Departamento - Venta - Argentina, Capital Federal - fray justo Santa maria de oro 2456 Departamento 1 Ambientes en Palermo Soho, Capital Federal TRIPPUTI PROPIEDADES VENDE Mono AmbIente 35M2 Palermo Soho con balcón al frente. 6to piso al frente, orientacion ESTE, a metros de Av. Santa fe, del Subte D y metrobus. SE PUEDE ADQUIRIR AMUEBLADO COMO SE VE EN IMAGENES (NO INCLUIDOS EN EL VALOR) PERSIANA ELECTRICA, AIRE ACONDICIONADO FRUI/CALOR. Baño con hidro, cocina a gas. Excelentes espacios de guardado Edificio de 8 pisos con 4 unidades por piso y dos ascensores. Ubicado en Oro entre santa fe y Guemes. Precio de Venta US$ 106.000 (no incluye MUEBLES) Expensas $178.000 (incluye AySA y metrogas) ABL $15.000 TOMAS TRIPPUTI - Mat. CUCICBA N 7969 AVISO Todas las propiedades que figuran en nuestra cartera se encuentran a cargo del profesional matriculado de la oficina, la intermediación y la conclusión de las operaciones serán llevadas exclusivamente por él Los precios de expensas e impuestos son en base a los ultimas liquidaciones y pueden variar.	https://www.argenprop.com/departamento-en-venta-en-palermo-1-ambiente--18531463	0	0	1	0	0	0	0	0
USD 235.999	N/A	ARAOZ	1932	0	62 m² cubie. 2 dorm. A Estrenar	DEPARTAMENTO A ESTRENAR EN VENTA DE 3 AMBIENTES EN PALERMO SOHO SEMIPISO DE CATEGORÍA CONCEPTO ARQUITECTóNICO El barrio de Palermo posee la doble condición de ser uno de los más tradicionales y consolidados de la ciudad y posicionarse a la vez entre los de mayor dinamismo y renovación, con una enorme y muy variada oferta cultural, de servicios, esparcimiento y excelente conectividad. Es en este contexto que se concibe el proyecto de Aráoz 1932, una apuesta por la calidad constructiva y de diseño en un entorno que día a día aumenta sus parámetros de exigencia. El emplazamiento del edificio supone un primer desafío, al ubicarse sobre un lote pentagonal irregular que se comprime fuertemente hacia el fondo pero presenta un frente de más de 13 metros de longitud. Estas condiciones son aprovechadas para potenciar en cada caso las condiciones resultantes; hacia el frente se desarrollan unidades amplias con criterios generosos de ventilación, iluminación, áreas públicas con grandes ventanales hacia balcones terraza de amplias dimensiones que posibilitan mayor diversidad de usos y cocinas integradas espacialmente, logrando conectividad visual y funcional con el interior y el exterior. A su vez, en las unidades orientadas hacia el centro de la manzana se trabaja con la irregularidad del terreno para aprovechar la geometría en favor de la funcionalidad y beneficiarse de la relación con un pulmón de manzana de construcciones bajas y orientación favorable, por lo que a pesar de poseer un frente de menores dimensiones se garantiza un muy buen nivel de iluminación y ventilación en todas las épocas del año. Los mismos criterios son aplicados para las áreas comunes; el hall y área de acceso se extiende sobre la longitud del frente posibilitando una gran amplitud y una adecuada secuencia de ingreso mientras que en el remate del edificio se encuentra el sector recreativo, equipado con quincho y parrillas, el cual se prolonga sobre una amplia terraza orientada hacia el norte con una visual abierta al contexto. CARACTERíSTICAS - Departamentos de 3 ambientes - Espacio semicubierto de uso múltiple en el piso 9, con parrilla y expansión - Penthouse exclusivo en piso 8 al frente de 4 ambientes. - Cocheras en subsuelo y planta baja - Bicicleteros TERMINACIONES - Artefactos de baño y grifería de 1o calidad - Porcelanato 1o calidad -Calefacción y agua caliente con caldera individual (a definir calefacción por piso radiante o radiadores) -Frentes de placares con hojas corredizas, altura de piso a techo, con una hoja espejada - Muebles de cocina completos - Ascensor de acero inoxidable con frecuencia variable - Preparado para instalación de split frío / calor y lavarropas - Apto profesional -Carpintería de aluminio línea a definir con doble vidriado hermético (DVH) ALREDEDORES Av. Scalabrini Ortiz 150 mts Plaza Guemes 400 mts Plaza Armenia 400 mts Plaza Unidad Latinoamericana 400 mts Av. Santa Fe 450 mts Parrila Don Julio 550 mts Plaza Serrano 650 mts Jardín Botánico 900 mts Subte D Scalabrini Ortiz 750 mts Av Córdoba 1000 mts Sanatorio Guemes 1000 mts Centro Cultural de la Ciencia 1100 mts Parque Las Heras 1300 mts Universidad de Palermo 1300 mts	https://www.argenprop.com/departamento-en-venta-en-palermo-soho-3-ambientes--15008381	1	1	1	0	1	0	1	0
